Solution_Size,Trial_Limit,Max_Iteration,Employed_Algo3,Onlooker_Algo3,Fold_ID,Seed,Iteration,Train_Fitness,Val_Fitness,Trace_Metric,Scout_Triggers
10,5,100,False,False,0,131,1,0.5743055950555576,0.6938347017889732,MCC,0
10,5,100,False,False,0,131,2,0.5743055950555576,0.6938347017889732,MCC,0
10,5,100,False,False,0,131,3,0.5743055950555576,0.6938347017889732,MCC,1
10,5,100,False,False,0,131,4,0.5743055950555576,0.6938347017889732,MCC,1
10,5,100,False,False,0,131,5,0.5743055950555576,0.6938347017889732,MCC,1
10,5,100,False,False,0,131,6,0.5743055950555576,0.6938347017889732,MCC,2
10,5,100,False,False,0,131,7,0.5743055950555576,0.6938347017889732,MCC,1
10,5,100,False,False,0,131,8,0.5743055950555576,0.6938347017889732,MCC,1
10,5,100,False,False,0,131,9,0.5743055950555576,0.6938347017889732,MCC,2
10,5,100,False,False,0,131,10,0.5743055950555576,0.6938347017889732,MCC,2
10,5,100,False,False,0,131,11,0.5743055950555576,0.6938347017889732,MCC,0
10,5,100,False,False,0,131,12,0.5743055950555576,0.6938347017889732,MCC,4
10,5,100,False,False,0,131,13,0.5743055950555576,0.6938347017889732,MCC,2
10,5,100,False,False,0,131,14,0.5743055950555576,0.6938347017889732,MCC,1
10,5,100,False,False,0,131,15,0.5743055950555576,0.6938347017889732,MCC,2
10,5,100,False,False,0,131,16,0.5743055950555576,0.6938347017889732,MCC,2
10,5,100,False,False,0,131,17,0.5756343551103347,0.7531750973530174,MCC,2
10,5,100,False,False,0,131,18,0.5756343551103347,0.7531750973530174,MCC,1
10,5,100,False,False,0,131,19,0.5756343551103347,0.7531750973530174,MCC,2
10,5,100,False,False,0,131,20,0.5756343551103347,0.7531750973530174,MCC,0
10,5,100,False,False,0,131,21,0.5756343551103347,0.7531750973530174,MCC,1
10,5,100,False,False,0,131,22,0.5756343551103347,0.7531750973530174,MCC,0
10,5,100,False,False,0,131,23,0.5756343551103347,0.7531750973530174,MCC,2
10,5,100,False,False,0,131,24,0.5756343551103347,0.7531750973530174,MCC,0
10,5,100,False,False,0,131,25,0.5756343551103347,0.7531750973530174,MCC,0
10,5,100,False,False,0,131,26,0.5756343551103347,0.7531750973530174,MCC,0
10,5,100,False,False,0,131,27,0.5756343551103347,0.7531750973530174,MCC,2
10,5,100,False,False,0,131,28,0.5756343551103347,0.7531750973530174,MCC,1
10,5,100,False,False,0,131,29,0.5756343551103347,0.7531750973530174,MCC,1
10,5,100,False,False,0,131,30,0.5756343551103347,0.7531750973530174,MCC,2
10,5,100,False,False,0,131,31,0.5756343551103347,0.7531750973530174,MCC,1
10,5,100,False,False,0,131,32,0.5756343551103347,0.7531750973530174,MCC,1
10,5,100,False,False,0,131,33,0.5756343551103347,0.7531750973530174,MCC,1
10,5,100,False,False,0,131,34,0.5756343551103347,0.7531750973530174,MCC,1
10,5,100,False,False,0,131,35,0.5756343551103347,0.7531750973530174,MCC,1
10,5,100,False,False,0,131,36,0.5756343551103347,0.7531750973530174,MCC,3
10,5,100,False,False,0,131,37,0.5756343551103347,0.7531750973530174,MCC,1
10,5,100,False,False,0,131,38,0.5756343551103347,0.7531750973530174,MCC,2
10,5,100,False,False,0,131,39,0.5756343551103347,0.7531750973530174,MCC,3
10,5,100,False,False,0,131,40,0.5756343551103347,0.7531750973530174,MCC,0
10,5,100,False,False,0,131,41,0.5756343551103347,0.7531750973530174,MCC,2
10,5,100,False,False,0,131,42,0.5756343551103347,0.7531750973530174,MCC,1
10,5,100,False,False,0,131,43,0.5756343551103347,0.7531750973530174,MCC,1
10,5,100,False,False,0,131,44,0.5756343551103347,0.7531750973530174,MCC,4
10,5,100,False,False,0,131,45,0.5756343551103347,0.7531750973530174,MCC,0
10,5,100,False,False,0,131,46,0.5756343551103347,0.7531750973530174,MCC,1
10,5,100,False,False,0,131,47,0.5756343551103347,0.7531750973530174,MCC,4
10,5,100,False,False,0,131,48,0.5756343551103347,0.7531750973530174,MCC,2
10,5,100,False,False,0,131,49,0.5756343551103347,0.7531750973530174,MCC,1
10,5,100,False,False,0,131,50,0.5756343551103347,0.7531750973530174,MCC,0
10,5,100,False,False,0,131,51,0.5756343551103347,0.7531750973530174,MCC,2
10,5,100,False,False,0,131,52,0.5803706464727056,0.7858116822750856,MCC,2
10,5,100,False,False,0,131,53,0.5803706464727056,0.7858116822750856,MCC,1
10,5,100,False,False,0,131,54,0.5803706464727056,0.7858116822750856,MCC,1
10,5,100,False,False,0,131,55,0.5803706464727056,0.7858116822750856,MCC,0
10,5,100,False,False,0,131,56,0.5803706464727056,0.7858116822750856,MCC,1
10,5,100,False,False,0,131,57,0.5803706464727056,0.7858116822750856,MCC,3
10,5,100,False,False,0,131,58,0.5803706464727056,0.7858116822750856,MCC,2
10,5,100,False,False,0,131,59,0.5857284586686178,0.7858116822750856,MCC,3
10,5,100,False,False,0,131,60,0.5857284586686178,0.7858116822750856,MCC,3
10,5,100,False,False,0,131,61,0.5857284586686178,0.7858116822750856,MCC,2
10,5,100,False,False,0,131,62,0.5857284586686178,0.7858116822750856,MCC,0
10,5,100,False,False,0,131,63,0.5857284586686178,0.7858116822750856,MCC,2
10,5,100,False,False,0,131,64,0.5857284586686178,0.7858116822750856,MCC,2
10,5,100,False,False,0,131,65,0.5857284586686178,0.7858116822750856,MCC,1
10,5,100,False,False,0,131,66,0.5857284586686178,0.7858116822750856,MCC,1
10,5,100,False,False,0,131,67,0.5857284586686178,0.7858116822750856,MCC,6
