Hidden_Nodes,Activation,Lambda_Value,Data_Seed,Fold,ELM_Seed,Accuracy,Precision,Recall,NPV,Specificity,F1-Score,F2-Score,Bal Accuracy,MCC
58,sigmoid,0.0009765625,1,0,41,0.7450980392156863,0.7407407407407407,0.7692307692307693,0.75,0.72,0.7547169811320755,0.7633587786259542,0.7446153846153847,0.48998517333228575
58,sigmoid,0.0009765625,1,0,42,0.7254901960784313,0.7727272727272727,0.6538461538461539,0.6896551724137931,0.8,0.7083333333333334,0.6746031746031746,0.726923076923077,0.4580944163960667
58,sigmoid,0.0009765625,1,0,43,0.6666666666666666,0.6551724137931034,0.7307692307692307,0.6818181818181818,0.6,0.6909090909090909,0.7142857142857143,0.6653846153846154,0.33386542211916725
58,sigmoid,0.0009765625,1,0,44,0.7450980392156863,0.782608695652174,0.6923076923076923,0.7142857142857143,0.8,0.7346938775510204,0.7086614173228346,0.7461538461538462,0.49459573418814906
58,sigmoid,0.0009765625,1,1,41,0.7450980392156863,0.8,0.64,0.7096774193548387,0.8461538461538461,0.7111111111111111,0.6666666666666666,0.7430769230769231,0.49777669463035495
58,sigmoid,0.0009765625,1,1,42,0.6274509803921569,0.6875,0.44,0.6,0.8076923076923077,0.5365853658536586,0.47413793103448276,0.6238461538461538,0.2668549015130478
58,sigmoid,0.0009765625,1,1,43,0.7254901960784313,0.7391304347826086,0.68,0.7142857142857143,0.7692307692307693,0.7083333333333334,0.6910569105691057,0.7246153846153847,0.451318607446686
58,sigmoid,0.0009765625,1,1,44,0.5882352941176471,0.6111111111111112,0.44,0.5757575757575758,0.7307692307692307,0.5116279069767442,0.4661016949152542,0.5853846153846154,0.178637683346549
58,sigmoid,0.0009765625,1,2,41,0.8235294117647058,0.8333333333333334,0.8,0.8148148148148148,0.8461538461538461,0.8163265306122449,0.8064516129032258,0.823076923076923,0.647150228929434
58,sigmoid,0.0009765625,1,2,42,0.6862745098039216,0.6551724137931034,0.76,0.7272727272727273,0.6153846153846154,0.7037037037037037,0.7364341085271318,0.6876923076923077,0.3788984325445433
58,sigmoid,0.0009765625,1,2,43,0.7058823529411765,0.6923076923076923,0.72,0.72,0.6923076923076923,0.7058823529411765,0.7142857142857143,0.7061538461538461,0.4123076923076923
58,sigmoid,0.0009765625,1,2,44,0.7450980392156863,0.7307692307692307,0.76,0.76,0.7307692307692307,0.7450980392156863,0.753968253968254,0.7453846153846153,0.4907692307692308
58,sigmoid,0.0009765625,1,3,41,0.6862745098039216,0.7368421052631579,0.56,0.65625,0.8076923076923077,0.6363636363636364,0.5882352941176471,0.6838461538461539,0.38018014587802723
