Solution_Size,Trial_Limit,Max_Iteration,Employed_Algo3,Onlooker_Algo3,Fold_ID,Seed,Iteration,Train_Fitness,Val_Fitness,Trace_Metric,Scout_Triggers
10,5,120,False,True,0,131,1,0.5216142631857934,0.6141374725294291,MCC,0
10,5,120,False,True,0,131,2,0.5216142631857934,0.6141374725294291,MCC,0
10,5,120,False,True,0,131,3,0.5216142631857934,0.6141374725294291,MCC,2
10,5,120,False,True,0,131,4,0.5216142631857934,0.6141374725294291,MCC,0
10,5,120,False,True,0,131,5,0.5330819048776079,0.5692307692307692,MCC,1
10,5,120,False,True,0,131,6,0.5330819048776079,0.5692307692307692,MCC,2
10,5,120,False,True,0,131,7,0.5330819048776079,0.5692307692307692,MCC,2
10,5,120,False,True,0,131,8,0.5423839370848129,0.6089709977191586,MCC,2
10,5,120,False,True,0,131,9,0.559412521459614,0.6141374725294291,MCC,1
10,5,120,False,True,0,131,10,0.5674777969854823,0.5781140725612035,MCC,4
10,5,120,False,True,0,131,11,0.5674777969854823,0.5781140725612035,MCC,0
10,5,120,False,True,0,131,12,0.5674777969854823,0.5781140725612035,MCC,2
10,5,120,False,True,0,131,13,0.5788334433025728,0.6235590677162621,MCC,1
10,5,120,False,True,0,131,14,0.5839225081562933,0.497776694630355,MCC,0
10,5,120,False,True,0,131,15,0.5839225081562933,0.497776694630355,MCC,3
10,5,120,False,True,0,131,16,0.5839225081562933,0.497776694630355,MCC,2
10,5,120,False,True,0,131,17,0.5839225081562933,0.497776694630355,MCC,2
10,5,120,False,True,0,131,18,0.5839225081562933,0.497776694630355,MCC,2
10,5,120,False,True,0,131,19,0.5839225081562933,0.497776694630355,MCC,2
10,5,120,False,True,0,131,20,0.5839225081562933,0.497776694630355,MCC,2
10,5,120,False,True,0,131,21,0.5839225081562933,0.497776694630355,MCC,1
10,5,120,False,True,0,131,22,0.5839225081562933,0.497776694630355,MCC,0
10,5,120,False,True,0,131,23,0.5839225081562933,0.497776694630355,MCC,2
10,5,120,False,True,0,131,24,0.5839225081562933,0.497776694630355,MCC,1
10,5,120,False,True,0,131,25,0.5839225081562933,0.497776694630355,MCC,1
10,5,120,False,True,0,131,26,0.5839225081562933,0.497776694630355,MCC,4
10,5,120,False,True,0,131,27,0.5839225081562933,0.497776694630355,MCC,2
10,5,120,False,True,0,131,28,0.5878495167420772,0.5714533736737373,MCC,3
10,5,120,False,True,0,131,29,0.5878495167420772,0.5714533736737373,MCC,1
10,5,120,False,True,0,131,30,0.5878495167420772,0.5714533736737373,MCC,1
10,5,120,False,True,0,131,31,0.5878495167420772,0.5714533736737373,MCC,2
10,5,120,False,True,0,131,32,0.5878495167420772,0.5714533736737373,MCC,2
10,5,120,False,True,0,131,33,0.5878495167420772,0.5714533736737373,MCC,1
10,5,120,False,True,0,131,34,0.6025320982621516,0.5714533736737373,MCC,3
10,5,120,False,True,0,131,35,0.6025320982621516,0.5714533736737373,MCC,2
10,5,120,False,True,0,131,36,0.6025320982621516,0.5714533736737373,MCC,1
10,5,120,False,True,0,131,37,0.6025320982621516,0.5714533736737373,MCC,4
10,5,120,False,True,0,131,38,0.6025320982621516,0.5714533736737373,MCC,1
10,5,120,False,True,0,131,39,0.6025320982621516,0.5714533736737373,MCC,1
10,5,120,False,True,0,131,40,0.6025320982621516,0.5714533736737373,MCC,2
10,5,120,False,True,0,131,41,0.6025320982621516,0.5714533736737373,MCC,1
10,5,120,False,True,0,131,42,0.6025320982621516,0.5714533736737373,MCC,0
10,5,120,False,True,0,131,43,0.6025320982621516,0.5714533736737373,MCC,3
10,5,120,False,True,0,131,44,0.6025320982621516,0.5714533736737373,MCC,3
10,5,120,False,True,0,131,45,0.6025320982621516,0.5714533736737373,MCC,1
10,5,120,False,True,0,131,46,0.6025320982621516,0.5714533736737373,MCC,0
10,5,120,False,True,0,131,47,0.6025320982621516,0.5714533736737373,MCC,1
10,5,120,False,True,0,131,48,0.6025320982621516,0.5714533736737373,MCC,0
10,5,120,False,True,0,131,49,0.6025320982621516,0.5714533736737373,MCC,2
10,5,120,False,True,0,131,50,0.6025320982621516,0.5714533736737373,MCC,3
10,5,120,False,True,0,131,51,0.6025320982621516,0.5714533736737373,MCC,3
10,5,120,False,True,0,131,52,0.6025320982621516,0.5714533736737373,MCC,0
10,5,120,False,True,0,131,53,0.6025320982621516,0.5714533736737373,MCC,1
10,5,120,False,True,0,131,54,0.6025320982621516,0.5714533736737373,MCC,3
10,5,120,False,True,0,131,55,0.6025320982621516,0.5714533736737373,MCC,1
10,5,120,False,True,0,131,56,0.6025320982621516,0.5714533736737373,MCC,1
10,5,120,False,True,0,131,57,0.6025320982621516,0.5714533736737373,MCC,1
10,5,120,False,True,0,131,58,0.6025320982621516,0.5714533736737373,MCC,4
10,5,120,False,True,0,131,59,0.6025320982621516,0.5714533736737373,MCC,3
10,5,120,False,True,0,131,60,0.6025320982621516,0.5714533736737373,MCC,0
10,5,120,False,True,0,131,61,0.6025320982621516,0.5714533736737373,MCC,1
10,5,120,False,True,0,131,62,0.6025320982621516,0.5714533736737373,MCC,1
10,5,120,False,True,0,131,63,0.6025320982621516,0.5714533736737373,MCC,1
10,5,120,False,True,0,131,64,0.6025320982621516,0.5714533736737373,MCC,0
10,5,120,False,True,0,131,65,0.6025320982621516,0.5714533736737373,MCC,1
10,5,120,False,True,0,131,66,0.6025320982621516,0.5714533736737373,MCC,4
10,5,120,False,True,0,131,67,0.6025320982621516,0.5714533736737373,MCC,1
10,5,120,False,True,0,131,68,0.6025320982621516,0.5714533736737373,MCC,2
10,5,120,False,True,0,131,69,0.6025320982621516,0.5714533736737373,MCC,0
10,5,120,False,True,0,131,70,0.6025320982621516,0.5714533736737373,MCC,0
10,5,120,False,True,0,131,71,0.6025320982621516,0.5714533736737373,MCC,1
10,5,120,False,True,0,131,72,0.6025320982621516,0.5714533736737373,MCC,1
10,5,120,False,True,0,131,73,0.6025320982621516,0.5714533736737373,MCC,1
10,5,120,False,True,0,131,74,0.6025320982621516,0.5714533736737373,MCC,2
10,5,120,False,True,0,131,75,0.6025320982621516,0.5714533736737373,MCC,2
10,5,120,False,True,0,131,76,0.6025320982621516,0.5714533736737373,MCC,1
10,5,120,False,True,0,131,77,0.6025320982621516,0.5714533736737373,MCC,2
10,5,120,False,True,0,131,78,0.6025320982621516,0.5714533736737373,MCC,2
10,5,120,False,True,0,131,79,0.6025320982621516,0.5714533736737373,MCC,1
10,5,120,False,True,0,131,80,0.6025320982621516,0.5714533736737373,MCC,0
10,5,120,False,True,0,131,81,0.6025320982621516,0.5714533736737373,MCC,1
10,5,120,False,True,0,131,82,0.6025320982621516,0.5714533736737373,MCC,1
10,5,120,False,True,0,131,83,0.6025320982621516,0.5714533736737373,MCC,1
10,5,120,False,True,0,131,84,0.6025320982621516,0.5714533736737373,MCC,4
10,5,120,False,True,0,131,85,0.6025320982621516,0.5714533736737373,MCC,0
10,5,120,False,True,0,131,86,0.6025320982621516,0.5714533736737373,MCC,2
10,5,120,False,True,0,131,87,0.6025320982621516,0.5714533736737373,MCC,1
10,5,120,False,True,0,131,88,0.6025320982621516,0.5714533736737373,MCC,2
10,5,120,False,True,0,131,89,0.6025320982621516,0.5714533736737373,MCC,1
10,5,120,False,True,0,131,90,0.6025320982621516,0.5714533736737373,MCC,2
10,5,120,False,True,0,131,91,0.6025320982621516,0.5714533736737373,MCC,1
10,5,120,False,True,0,131,92,0.6025320982621516,0.5714533736737373,MCC,2
10,5,120,False,True,0,131,93,0.6025320982621516,0.5714533736737373,MCC,2
10,5,120,False,True,0,131,94,0.6025320982621516,0.5714533736737373,MCC,1
10,5,120,False,True,0,131,95,0.6025320982621516,0.5714533736737373,MCC,2
10,5,120,False,True,0,131,96,0.6025320982621516,0.5714533736737373,MCC,2
10,5,120,False,True,0,131,97,0.6036001208466784,0.647150228929434,MCC,2
10,5,120,False,True,0,131,98,0.6036001208466784,0.647150228929434,MCC,1
10,5,120,False,True,0,131,99,0.6036001208466784,0.647150228929434,MCC,1
10,5,120,False,True,0,131,100,0.6036001208466784,0.647150228929434,MCC,3
10,5,120,False,True,0,131,101,0.6036001208466784,0.647150228929434,MCC,2
10,5,120,False,True,0,131,102,0.6036001208466784,0.647150228929434,MCC,0
10,5,120,False,True,0,131,103,0.6036001208466784,0.647150228929434,MCC,1
10,5,120,False,True,0,131,104,0.6036001208466784,0.647150228929434,MCC,0
10,5,120,False,True,0,131,105,0.6036001208466784,0.647150228929434,MCC,1
10,5,120,False,True,0,131,106,0.6036001208466784,0.647150228929434,MCC,2
10,5,120,False,True,0,131,107,0.6036001208466784,0.647150228929434,MCC,3
10,5,120,False,True,0,131,108,0.6036001208466784,0.647150228929434,MCC,1
10,5,120,False,True,0,131,109,0.6036001208466784,0.647150228929434,MCC,1
10,5,120,False,True,0,131,110,0.6036001208466784,0.647150228929434,MCC,0
10,5,120,False,True,0,131,111,0.6036001208466784,0.647150228929434,MCC,3
10,5,120,False,True,0,131,112,0.6036001208466784,0.647150228929434,MCC,3
10,5,120,False,True,0,131,113,0.6036001208466784,0.647150228929434,MCC,1
10,5,120,False,True,0,131,114,0.6036001208466784,0.647150228929434,MCC,2
10,5,120,False,True,0,131,115,0.6036001208466784,0.647150228929434,MCC,1
10,5,120,False,True,0,131,116,0.6036001208466784,0.647150228929434,MCC,1
10,5,120,False,True,0,131,117,0.6036001208466784,0.647150228929434,MCC,5
10,5,120,False,True,0,131,118,0.6036001208466784,0.647150228929434,MCC,1
10,5,120,False,True,0,131,119,0.6036001208466784,0.647150228929434,MCC,1
10,5,120,False,True,0,131,120,0.6036001208466784,0.647150228929434,MCC,2
10,5,120,False,True,0,132,1,0.5185387917114639,0.7646153846153845,MCC,0
10,5,120,False,True,0,132,2,0.5185387917114639,0.7646153846153845,MCC,0
10,5,120,False,True,0,132,3,0.5737652621857432,0.6584514504920518,MCC,3
10,5,120,False,True,0,132,4,0.5949444093252187,0.6938347017889732,MCC,1
10,5,120,False,True,0,132,5,0.609282411711856,0.6877971928553948,MCC,0
10,5,120,False,True,0,132,6,0.609282411711856,0.6877971928553948,MCC,4
10,5,120,False,True,0,132,7,0.609282411711856,0.6877971928553948,MCC,1
10,5,120,False,True,0,132,8,0.609282411711856,0.6877971928553948,MCC,2
10,5,120,False,True,0,132,9,0.609282411711856,0.6877971928553948,MCC,2
10,5,120,False,True,0,132,10,0.609282411711856,0.6877971928553948,MCC,1
10,5,120,False,True,0,132,11,0.609282411711856,0.6877971928553948,MCC,0
10,5,120,False,True,0,132,12,0.609282411711856,0.6877971928553948,MCC,0
10,5,120,False,True,0,132,13,0.609282411711856,0.6877971928553948,MCC,2
10,5,120,False,True,0,132,14,0.609282411711856,0.6877971928553948,MCC,4
10,5,120,False,True,0,132,15,0.609282411711856,0.6877971928553948,MCC,0
10,5,120,False,True,0,132,16,0.609282411711856,0.6877971928553948,MCC,2
10,5,120,False,True,0,132,17,0.609282411711856,0.6877971928553948,MCC,2
10,5,120,False,True,0,132,18,0.609282411711856,0.6877971928553948,MCC,0
10,5,120,False,True,0,132,19,0.609282411711856,0.6877971928553948,MCC,1
10,5,120,False,True,0,132,20,0.609282411711856,0.6877971928553948,MCC,3
10,5,120,False,True,0,132,21,0.609282411711856,0.6877971928553948,MCC,1
10,5,120,False,True,0,132,22,0.609282411711856,0.6877971928553948,MCC,2
10,5,120,False,True,0,132,23,0.609282411711856,0.6877971928553948,MCC,2
10,5,120,False,True,0,132,24,0.609282411711856,0.6877971928553948,MCC,3
10,5,120,False,True,0,132,25,0.609282411711856,0.6877971928553948,MCC,1
10,5,120,False,True,0,132,26,0.609282411711856,0.6877971928553948,MCC,0
10,5,120,False,True,0,132,27,0.609282411711856,0.6877971928553948,MCC,4
10,5,120,False,True,0,132,28,0.609282411711856,0.6877971928553948,MCC,2
10,5,120,False,True,0,132,29,0.609282411711856,0.6877971928553948,MCC,0
10,5,120,False,True,0,132,30,0.609282411711856,0.6877971928553948,MCC,1
10,5,120,False,True,0,132,31,0.609282411711856,0.6877971928553948,MCC,2
10,5,120,False,True,0,132,32,0.609282411711856,0.6877971928553948,MCC,2
10,5,120,False,True,0,132,33,0.609282411711856,0.6877971928553948,MCC,1
10,5,120,False,True,0,132,34,0.609282411711856,0.6877971928553948,MCC,1
10,5,120,False,True,0,132,35,0.609282411711856,0.6877971928553948,MCC,3
10,5,120,False,True,0,132,36,0.609282411711856,0.6877971928553948,MCC,1
10,5,120,False,True,0,132,37,0.609282411711856,0.6877971928553948,MCC,2
10,5,120,False,True,0,132,38,0.6099293082338706,0.6089709977191586,MCC,1
10,5,120,False,True,0,132,39,0.6099293082338706,0.6089709977191586,MCC,1
10,5,120,False,True,0,132,40,0.6099293082338706,0.6089709977191586,MCC,0
10,5,120,False,True,0,132,41,0.6099293082338706,0.6089709977191586,MCC,1
10,5,120,False,True,0,132,42,0.6099293082338706,0.6089709977191586,MCC,3
10,5,120,False,True,0,132,43,0.6099293082338706,0.6089709977191586,MCC,1
10,5,120,False,True,0,132,44,0.6099293082338706,0.6089709977191586,MCC,2
10,5,120,False,True,0,132,45,0.6099293082338706,0.6089709977191586,MCC,3
10,5,120,False,True,0,132,46,0.6099293082338706,0.6089709977191586,MCC,0
10,5,120,False,True,0,132,47,0.6099293082338706,0.6089709977191586,MCC,2
10,5,120,False,True,0,132,48,0.6099293082338706,0.6089709977191586,MCC,2
10,5,120,False,True,0,132,49,0.6099293082338706,0.6089709977191586,MCC,2
10,5,120,False,True,0,132,50,0.6099293082338706,0.6089709977191586,MCC,1
10,5,120,False,True,0,132,51,0.6099293082338706,0.6089709977191586,MCC,2
