Solution_Size,Trial_Limit,Max_Iteration,Employed_Algo3,Onlooker_Algo3,Fold_ID,Seed,Iteration,Train_Fitness,Val_Fitness,Trace_Metric,Scout_Triggers
100,50,100,False,True,0,131,1,0.5817732442789127,0.6506493575252608,MCC,0
100,50,100,False,True,0,131,2,0.5826328141979378,0.48998517333228575,MCC,0
100,50,100,False,True,0,131,3,0.5944897428897236,0.6584514504920518,MCC,0
100,50,100,False,True,0,131,4,0.6128528264414499,0.6506493575252608,MCC,0
100,50,100,False,True,0,131,5,0.6506951885010539,0.6141374725294291,MCC,0
100,50,100,False,True,0,131,6,0.6509246200291883,0.6506493575252608,MCC,0
100,50,100,False,True,0,131,7,0.6568442393906342,0.6506493575252608,MCC,0
100,50,100,False,True,0,131,8,0.6568442393906342,0.6506493575252608,MCC,0
100,50,100,False,True,0,131,9,0.6568442393906342,0.6506493575252608,MCC,0
100,50,100,False,True,0,131,10,0.6568442393906342,0.6506493575252608,MCC,0
100,50,100,False,True,0,131,11,0.6568442393906342,0.6506493575252608,MCC,0
100,50,100,False,True,0,131,12,0.6568442393906342,0.6506493575252608,MCC,0
100,50,100,False,True,0,131,13,0.6664238421746895,0.6506493575252608,MCC,0
100,50,100,False,True,0,131,14,0.6664238421746895,0.6506493575252608,MCC,0
100,50,100,False,True,0,131,15,0.6664238421746895,0.6506493575252608,MCC,0
100,50,100,False,True,0,131,16,0.6664238421746895,0.6506493575252608,MCC,0
100,50,100,False,True,0,131,17,0.6664238421746895,0.6506493575252608,MCC,0
100,50,100,False,True,0,131,18,0.6664238421746895,0.6506493575252608,MCC,0
100,50,100,False,True,0,131,19,0.6664238421746895,0.6506493575252608,MCC,0
100,50,100,False,True,0,131,20,0.6798638271658441,0.5714533736737373,MCC,0
100,50,100,False,True,0,131,21,0.6798638271658441,0.5714533736737373,MCC,0
100,50,100,False,True,0,131,22,0.6798638271658441,0.5714533736737373,MCC,0
100,50,100,False,True,0,131,23,0.6798638271658441,0.5714533736737373,MCC,0
100,50,100,False,True,0,131,24,0.6798638271658441,0.5714533736737373,MCC,0
100,50,100,False,True,0,131,25,0.6800414879198946,0.5714533736737373,MCC,0
100,50,100,False,True,0,131,26,0.6800414879198946,0.5714533736737373,MCC,0
100,50,100,False,True,0,131,27,0.6800414879198946,0.5714533736737373,MCC,0
100,50,100,False,True,0,131,28,0.6817073384738261,0.5714533736737373,MCC,0
100,50,100,False,True,0,131,29,0.6817073384738261,0.5714533736737373,MCC,1
100,50,100,False,True,0,131,30,0.6817073384738261,0.5714533736737373,MCC,0
100,50,100,False,True,0,131,31,0.6817073384738261,0.5714533736737373,MCC,2
100,50,100,False,True,0,131,32,0.6817073384738261,0.5714533736737373,MCC,0
100,50,100,False,True,0,131,33,0.6817073384738261,0.5714533736737373,MCC,1
100,50,100,False,True,0,131,34,0.6817073384738261,0.5714533736737373,MCC,0
100,50,100,False,True,0,131,35,0.6817073384738261,0.5714533736737373,MCC,0
100,50,100,False,True,0,131,36,0.6817073384738261,0.5714533736737373,MCC,1
100,50,100,False,True,0,131,37,0.6817073384738261,0.5714533736737373,MCC,0
100,50,100,False,True,0,131,38,0.6817073384738261,0.5714533736737373,MCC,1
100,50,100,False,True,0,131,39,0.6817073384738261,0.5714533736737373,MCC,1
100,50,100,False,True,0,131,40,0.6817073384738261,0.5714533736737373,MCC,5
100,50,100,False,True,0,131,41,0.6817073384738261,0.5714533736737373,MCC,1
100,50,100,False,True,0,131,42,0.6817073384738261,0.5714533736737373,MCC,0
100,50,100,False,True,0,131,43,0.6817073384738261,0.5714533736737373,MCC,4
100,50,100,False,True,0,131,44,0.6817073384738261,0.5714533736737373,MCC,1
100,50,100,False,True,0,131,45,0.6817073384738261,0.5714533736737373,MCC,2
100,50,100,False,True,0,131,46,0.6817073384738261,0.5714533736737373,MCC,2
100,50,100,False,True,0,131,47,0.6817073384738261,0.5714533736737373,MCC,1
100,50,100,False,True,0,131,48,0.6817073384738261,0.5714533736737373,MCC,2
100,50,100,False,True,0,131,49,0.6817073384738261,0.5714533736737373,MCC,1
100,50,100,False,True,0,131,50,0.6817073384738261,0.5714533736737373,MCC,4
100,50,100,False,True,0,131,51,0.6817073384738261,0.5714533736737373,MCC,0
100,50,100,False,True,0,131,52,0.6817073384738261,0.5714533736737373,MCC,0
100,50,100,False,True,0,131,53,0.6817073384738261,0.5714533736737373,MCC,0
100,50,100,False,True,0,131,54,0.6817073384738261,0.5714533736737373,MCC,0
100,50,100,False,True,0,131,55,0.6817073384738261,0.5714533736737373,MCC,2
100,50,100,False,True,0,131,56,0.6817073384738261,0.5714533736737373,MCC,0
100,50,100,False,True,0,131,57,0.6817073384738261,0.5714533736737373,MCC,1
100,50,100,False,True,0,131,58,0.6817073384738261,0.5714533736737373,MCC,1
100,50,100,False,True,0,131,59,0.6817073384738261,0.5714533736737373,MCC,2
100,50,100,False,True,0,131,60,0.6817073384738261,0.5714533736737373,MCC,3
100,50,100,False,True,0,131,61,0.6817073384738261,0.5714533736737373,MCC,1
100,50,100,False,True,0,131,62,0.6817073384738261,0.5714533736737373,MCC,5
100,50,100,False,True,0,131,63,0.6817073384738261,0.5714533736737373,MCC,0
100,50,100,False,True,0,131,64,0.6817073384738261,0.5714533736737373,MCC,0
100,50,100,False,True,0,131,65,0.6817073384738261,0.5714533736737373,MCC,1
100,50,100,False,True,0,131,66,0.6817073384738261,0.5714533736737373,MCC,2
100,50,100,False,True,0,131,67,0.6817073384738261,0.5714533736737373,MCC,2
100,50,100,False,True,0,131,68,0.6817073384738261,0.5714533736737373,MCC,0
100,50,100,False,True,0,131,69,0.6817073384738261,0.5714533736737373,MCC,4
100,50,100,False,True,0,131,70,0.6817073384738261,0.5714533736737373,MCC,3
100,50,100,False,True,0,131,71,0.6817073384738261,0.5714533736737373,MCC,3
100,50,100,False,True,0,131,72,0.6817073384738261,0.5714533736737373,MCC,2
100,50,100,False,True,0,131,73,0.6817073384738261,0.5714533736737373,MCC,0
100,50,100,False,True,0,131,74,0.6817073384738261,0.5714533736737373,MCC,1
100,50,100,False,True,0,131,75,0.6817073384738261,0.5714533736737373,MCC,4
100,50,100,False,True,0,131,76,0.6817073384738261,0.5714533736737373,MCC,2
100,50,100,False,True,0,131,77,0.6817073384738261,0.5714533736737373,MCC,1
100,50,100,False,True,0,131,78,0.6817073384738261,0.5714533736737373,MCC,1
100,50,100,False,True,0,131,79,0.6817073384738261,0.5714533736737373,MCC,9
100,50,100,False,True,0,131,80,0.6817073384738261,0.5714533736737373,MCC,5
100,50,100,False,True,0,131,81,0.6817073384738261,0.5714533736737373,MCC,4
100,50,100,False,True,0,131,82,0.6817073384738261,0.5714533736737373,MCC,0
100,50,100,False,True,0,131,83,0.6817073384738261,0.5714533736737373,MCC,1
100,50,100,False,True,0,131,84,0.6817073384738261,0.5714533736737373,MCC,3
100,50,100,False,True,0,131,85,0.6817073384738261,0.5714533736737373,MCC,3
100,50,100,False,True,0,131,86,0.6817073384738261,0.5714533736737373,MCC,3
100,50,100,False,True,0,131,87,0.6817073384738261,0.5714533736737373,MCC,3
100,50,100,False,True,0,131,88,0.6817073384738261,0.5714533736737373,MCC,1
100,50,100,False,True,0,131,89,0.6817073384738261,0.5714533736737373,MCC,0
100,50,100,False,True,0,131,90,0.6817073384738261,0.5714533736737373,MCC,1
100,50,100,False,True,0,131,91,0.6817073384738261,0.5714533736737373,MCC,1
100,50,100,False,True,0,131,92,0.6817073384738261,0.5714533736737373,MCC,2
