Hidden_Nodes,Activation,Lambda_Value,Fold,ELM_Seed,Accuracy,Precision,Recall,NPV,Specificity,F1-Score,F2-Score,Bal Accuracy,MCC
44,sigmoid,3.0517578125e-05,2,105,0.6862745098039216,0.7142857142857143,0.6,0.6666666666666666,0.7692307692307693,0.6521739130434783,0.6198347107438017,0.6846153846153846,0.37504578475079636
44,sigmoid,3.0517578125e-05,3,101,0.7450980392156863,0.8,0.64,0.7096774193548387,0.8461538461538461,0.7111111111111111,0.6666666666666666,0.7430769230769231,0.49777669463035495
44,sigmoid,3.0517578125e-05,3,102,0.6666666666666666,0.75,0.48,0.6285714285714286,0.8461538461538461,0.5853658536585366,0.5172413793103449,0.6630769230769231,0.35138657838985177
44,sigmoid,3.0517578125e-05,3,103,0.7254901960784313,0.8235294117647058,0.56,0.6764705882352942,0.8846153846153846,0.6666666666666666,0.5982905982905983,0.7223076923076923,0.4714951667914447
44,sigmoid,3.0517578125e-05,3,104,0.7450980392156863,0.8333333333333334,0.6,0.696969696969697,0.8846153846153846,0.6976744186046512,0.635593220338983,0.7423076923076923,0.5069447770645309
44,sigmoid,3.0517578125e-05,3,105,0.7254901960784313,0.8235294117647058,0.56,0.6764705882352942,0.8846153846153846,0.6666666666666666,0.5982905982905983,0.7223076923076923,0.4714951667914447
44,sigmoid,3.0517578125e-05,4,101,0.8235294117647058,0.8076923076923077,0.84,0.84,0.8076923076923077,0.8235294117647058,0.8333333333333334,0.8238461538461539,0.6476923076923077
44,sigmoid,3.0517578125e-05,4,102,0.803921568627451,0.8571428571428571,0.72,0.7666666666666667,0.8846153846153846,0.782608695652174,0.743801652892562,0.8023076923076923,0.6141374725294291
44,sigmoid,3.0517578125e-05,4,103,0.8235294117647058,0.8636363636363636,0.76,0.7931034482758621,0.8846153846153846,0.8085106382978723,0.7786885245901639,0.8223076923076923,0.6506493575252608
44,sigmoid,3.0517578125e-05,4,104,0.7254901960784313,0.7619047619047619,0.64,0.7,0.8076923076923077,0.6956521739130435,0.6611570247933884,0.7238461538461538,0.45474301401034056
44,sigmoid,3.0517578125e-05,4,105,0.7647058823529411,0.8095238095238095,0.68,0.7333333333333333,0.8461538461538461,0.7391304347826086,0.7024793388429752,0.7630769230769231,0.5344402432698848
44,sigmoid,6.103515625e-05,0,101,0.7647058823529411,0.7333333333333333,0.8461538461538461,0.8095238095238095,0.68,0.7857142857142857,0.8208955223880597,0.7630769230769231,0.5344402432698848
44,sigmoid,6.103515625e-05,0,102,0.6862745098039216,0.65625,0.8076923076923077,0.7368421052631579,0.56,0.7241379310344828,0.7720588235294118,0.6838461538461539,0.38018014587802723
44,sigmoid,6.103515625e-05,0,103,0.6862745098039216,0.6666666666666666,0.7692307692307693,0.7142857142857143,0.6,0.7142857142857143,0.746268656716418,0.6846153846153846,0.37504578475079636
44,sigmoid,6.103515625e-05,0,104,0.7254901960784313,0.7142857142857143,0.7692307692307693,0.7391304347826086,0.68,0.7407407407407407,0.7575757575757576,0.7246153846153847,0.451318607446686
44,sigmoid,6.103515625e-05,0,105,0.7058823529411765,0.6774193548387096,0.8076923076923077,0.75,0.6,0.7368421052631579,0.7777777777777778,0.7038461538461538,0.4174393166995065
44,sigmoid,6.103515625e-05,1,101,0.7647058823529411,0.8421052631578947,0.64,0.71875,0.8846153846153846,0.7272727272727273,0.6722689075630253,0.7623076923076924,0.5424327604368505
44,sigmoid,6.103515625e-05,1,102,0.7843137254901961,0.85,0.68,0.7419354838709677,0.8846153846153846,0.7555555555555555,0.7083333333333334,0.7823076923076924,0.5781140725612034
44,sigmoid,6.103515625e-05,1,103,0.7450980392156863,0.7727272727272727,0.68,0.7241379310344828,0.8076923076923077,0.723404255319149,0.6967213114754098,0.7438461538461538,0.492257389822214
44,sigmoid,6.103515625e-05,1,104,0.8235294117647058,0.9444444444444444,0.68,0.7575757575757576,0.9615384615384616,0.7906976744186046,0.7203389830508474,0.8207692307692308,0.6710983239235219
44,sigmoid,6.103515625e-05,1,105,0.803921568627451,0.8571428571428571,0.72,0.7666666666666667,0.8846153846153846,0.782608695652174,0.743801652892562,0.8023076923076923,0.6141374725294291
44,sigmoid,6.103515625e-05,2,101,0.7254901960784313,0.7391304347826086,0.68,0.7142857142857143,0.7692307692307693,0.7083333333333334,0.6910569105691057,0.7246153846153847,0.451318607446686
44,sigmoid,6.103515625e-05,2,102,0.7647058823529411,0.76,0.76,0.7692307692307693,0.7692307692307693,0.76,0.76,0.7646153846153847,0.5292307692307693
44,sigmoid,6.103515625e-05,2,103,0.7647058823529411,0.8095238095238095,0.68,0.7333333333333333,0.8461538461538461,0.7391304347826086,0.7024793388429752,0.7630769230769231,0.5344402432698848
44,sigmoid,6.103515625e-05,2,104,0.803921568627451,0.8,0.8,0.8076923076923077,0.8076923076923077,0.8,0.8,0.8038461538461539,0.6076923076923076
44,sigmoid,6.103515625e-05,2,105,0.6862745098039216,0.7142857142857143,0.6,0.6666666666666666,0.7692307692307693,0.6521739130434783,0.6198347107438017,0.6846153846153846,0.37504578475079636
44,sigmoid,6.103515625e-05,3,101,0.7450980392156863,0.8,0.64,0.7096774193548387,0.8461538461538461,0.7111111111111111,0.6666666666666666,0.7430769230769231,0.49777669463035495
44,sigmoid,6.103515625e-05,3,102,0.6666666666666666,0.75,0.48,0.6285714285714286,0.8461538461538461,0.5853658536585366,0.5172413793103449,0.6630769230769231,0.35138657838985177
44,sigmoid,6.103515625e-05,3,103,0.7254901960784313,0.8235294117647058,0.56,0.6764705882352942,0.8846153846153846,0.6666666666666666,0.5982905982905983,0.7223076923076923,0.4714951667914447
44,sigmoid,6.103515625e-05,3,104,0.7450980392156863,0.8333333333333334,0.6,0.696969696969697,0.8846153846153846,0.6976744186046512,0.635593220338983,0.7423076923076923,0.5069447770645309
44,sigmoid,6.103515625e-05,3,105,0.7254901960784313,0.8235294117647058,0.56,0.6764705882352942,0.8846153846153846,0.6666666666666666,0.5982905982905983,0.7223076923076923,0.4714951667914447
44,sigmoid,6.103515625e-05,4,101,0.8235294117647058,0.8076923076923077,0.84,0.84,0.8076923076923077,0.8235294117647058,0.8333333333333334,0.8238461538461539,0.6476923076923077
44,sigmoid,6.103515625e-05,4,102,0.803921568627451,0.8571428571428571,0.72,0.7666666666666667,0.8846153846153846,0.782608695652174,0.743801652892562,0.8023076923076923,0.6141374725294291
44,sigmoid,6.103515625e-05,4,103,0.8235294117647058,0.8636363636363636,0.76,0.7931034482758621,0.8846153846153846,0.8085106382978723,0.7786885245901639,0.8223076923076923,0.6506493575252608
44,sigmoid,6.103515625e-05,4,104,0.7254901960784313,0.7619047619047619,0.64,0.7,0.8076923076923077,0.6956521739130435,0.6611570247933884,0.7238461538461538,0.45474301401034056
44,sigmoid,6.103515625e-05,4,105,0.7647058823529411,0.8095238095238095,0.68,0.7333333333333333,0.8461538461538461,0.7391304347826086,0.7024793388429752,0.7630769230769231,0.5344402432698848
44,sigmoid,0.0001220703125,0,101,0.7647058823529411,0.7333333333333333,0.8461538461538461,0.8095238095238095,0.68,0.7857142857142857,0.8208955223880597,0.7630769230769231,0.5344402432698848
44,sigmoid,0.0001220703125,0,102,0.6862745098039216,0.65625,0.8076923076923077,0.7368421052631579,0.56,0.7241379310344828,0.7720588235294118,0.6838461538461539,0.38018014587802723
44,sigmoid,0.0001220703125,0,103,0.6862745098039216,0.6666666666666666,0.7692307692307693,0.7142857142857143,0.6,0.7142857142857143,0.746268656716418,0.6846153846153846,0.37504578475079636
44,sigmoid,0.0001220703125,0,104,0.7254901960784313,0.7142857142857143,0.7692307692307693,0.7391304347826086,0.68,0.7407407407407407,0.7575757575757576,0.7246153846153847,0.451318607446686
44,sigmoid,0.0001220703125,0,105,0.7058823529411765,0.6774193548387096,0.8076923076923077,0.75,0.6,0.7368421052631579,0.7777777777777778,0.7038461538461538,0.4174393166995065
44,sigmoid,0.0001220703125,1,101,0.7647058823529411,0.8421052631578947,0.64,0.71875,0.8846153846153846,0.7272727272727273,0.6722689075630253,0.7623076923076924,0.5424327604368505
44,sigmoid,0.0001220703125,1,102,0.7843137254901961,0.85,0.68,0.7419354838709677,0.8846153846153846,0.7555555555555555,0.7083333333333334,0.7823076923076924,0.5781140725612034
44,sigmoid,0.0001220703125,1,103,0.7450980392156863,0.7727272727272727,0.68,0.7241379310344828,0.8076923076923077,0.723404255319149,0.6967213114754098,0.7438461538461538,0.492257389822214
44,sigmoid,0.0001220703125,1,104,0.8235294117647058,0.9444444444444444,0.68,0.7575757575757576,0.9615384615384616,0.7906976744186046,0.7203389830508474,0.8207692307692308,0.6710983239235219
44,sigmoid,0.0001220703125,1,105,0.803921568627451,0.8571428571428571,0.72,0.7666666666666667,0.8846153846153846,0.782608695652174,0.743801652892562,0.8023076923076923,0.6141374725294291
44,sigmoid,0.0001220703125,2,101,0.7254901960784313,0.7391304347826086,0.68,0.7142857142857143,0.7692307692307693,0.7083333333333334,0.6910569105691057,0.7246153846153847,0.451318607446686
44,sigmoid,0.0001220703125,2,102,0.7647058823529411,0.76,0.76,0.7692307692307693,0.7692307692307693,0.76,0.76,0.7646153846153847,0.5292307692307693
44,sigmoid,0.0001220703125,2,103,0.7647058823529411,0.8095238095238095,0.68,0.7333333333333333,0.8461538461538461,0.7391304347826086,0.7024793388429752,0.7630769230769231,0.5344402432698848
44,sigmoid,0.0001220703125,2,104,0.803921568627451,0.8,0.8,0.8076923076923077,0.8076923076923077,0.8,0.8,0.8038461538461539,0.6076923076923076
44,sigmoid,0.0001220703125,2,105,0.6862745098039216,0.7142857142857143,0.6,0.6666666666666666,0.7692307692307693,0.6521739130434783,0.6198347107438017,0.6846153846153846,0.37504578475079636
44,sigmoid,0.0001220703125,3,101,0.7450980392156863,0.8,0.64,0.7096774193548387,0.8461538461538461,0.7111111111111111,0.6666666666666666,0.7430769230769231,0.49777669463035495
44,sigmoid,0.0001220703125,3,102,0.6862745098039216,0.8,0.48,0.6388888888888888,0.8846153846153846,0.6,0.5217391304347826,0.6823076923076923,0.4000320499980483
44,sigmoid,0.0001220703125,3,103,0.7254901960784313,0.8235294117647058,0.56,0.6764705882352942,0.8846153846153846,0.6666666666666666,0.5982905982905983,0.7223076923076923,0.4714951667914447
44,sigmoid,0.0001220703125,3,104,0.7450980392156863,0.8333333333333334,0.6,0.696969696969697,0.8846153846153846,0.6976744186046512,0.635593220338983,0.7423076923076923,0.5069447770645309
44,sigmoid,0.0001220703125,3,105,0.7254901960784313,0.8235294117647058,0.56,0.6764705882352942,0.8846153846153846,0.6666666666666666,0.5982905982905983,0.7223076923076923,0.4714951667914447
44,sigmoid,0.0001220703125,4,101,0.8235294117647058,0.8076923076923077,0.84,0.84,0.8076923076923077,0.8235294117647058,0.8333333333333334,0.8238461538461539,0.6476923076923077
44,sigmoid,0.0001220703125,4,102,0.803921568627451,0.8571428571428571,0.72,0.7666666666666667,0.8846153846153846,0.782608695652174,0.743801652892562,0.8023076923076923,0.6141374725294291
44,sigmoid,0.0001220703125,4,103,0.8235294117647058,0.8636363636363636,0.76,0.7931034482758621,0.8846153846153846,0.8085106382978723,0.7786885245901639,0.8223076923076923,0.6506493575252608
44,sigmoid,0.0001220703125,4,104,0.7254901960784313,0.7619047619047619,0.64,0.7,0.8076923076923077,0.6956521739130435,0.6611570247933884,0.7238461538461538,0.45474301401034056
44,sigmoid,0.0001220703125,4,105,0.7647058823529411,0.8095238095238095,0.68,0.7333333333333333,0.8461538461538461,0.7391304347826086,0.7024793388429752,0.7630769230769231,0.5344402432698848
44,sigmoid,0.000244140625,0,101,0.7647058823529411,0.7333333333333333,0.8461538461538461,0.8095238095238095,0.68,0.7857142857142857,0.8208955223880597,0.7630769230769231,0.5344402432698848
44,sigmoid,0.000244140625,0,102,0.6862745098039216,0.65625,0.8076923076923077,0.7368421052631579,0.56,0.7241379310344828,0.7720588235294118,0.6838461538461539,0.38018014587802723
44,sigmoid,0.000244140625,0,103,0.6862745098039216,0.6666666666666666,0.7692307692307693,0.7142857142857143,0.6,0.7142857142857143,0.746268656716418,0.6846153846153846,0.37504578475079636
44,sigmoid,0.000244140625,0,104,0.7254901960784313,0.7142857142857143,0.7692307692307693,0.7391304347826086,0.68,0.7407407407407407,0.7575757575757576,0.7246153846153847,0.451318607446686
44,sigmoid,0.000244140625,0,105,0.7058823529411765,0.6774193548387096,0.8076923076923077,0.75,0.6,0.7368421052631579,0.7777777777777778,0.7038461538461538,0.4174393166995065
44,sigmoid,0.000244140625,1,101,0.7647058823529411,0.8421052631578947,0.64,0.71875,0.8846153846153846,0.7272727272727273,0.6722689075630253,0.7623076923076924,0.5424327604368505
44,sigmoid,0.000244140625,1,102,0.7843137254901961,0.85,0.68,0.7419354838709677,0.8846153846153846,0.7555555555555555,0.7083333333333334,0.7823076923076924,0.5781140725612034
44,sigmoid,0.000244140625,1,103,0.7450980392156863,0.7727272727272727,0.68,0.7241379310344828,0.8076923076923077,0.723404255319149,0.6967213114754098,0.7438461538461538,0.492257389822214
44,sigmoid,0.000244140625,1,104,0.8235294117647058,0.9444444444444444,0.68,0.7575757575757576,0.9615384615384616,0.7906976744186046,0.7203389830508474,0.8207692307692308,0.6710983239235219
44,sigmoid,0.000244140625,1,105,0.803921568627451,0.8571428571428571,0.72,0.7666666666666667,0.8846153846153846,0.782608695652174,0.743801652892562,0.8023076923076923,0.6141374725294291
44,sigmoid,0.000244140625,2,101,0.7254901960784313,0.7391304347826086,0.68,0.7142857142857143,0.7692307692307693,0.7083333333333334,0.6910569105691057,0.7246153846153847,0.451318607446686
44,sigmoid,0.000244140625,2,102,0.7647058823529411,0.76,0.76,0.7692307692307693,0.7692307692307693,0.76,0.76,0.7646153846153847,0.5292307692307693
44,sigmoid,0.000244140625,2,103,0.7647058823529411,0.8095238095238095,0.68,0.7333333333333333,0.8461538461538461,0.7391304347826086,0.7024793388429752,0.7630769230769231,0.5344402432698848
44,sigmoid,0.000244140625,2,104,0.803921568627451,0.8,0.8,0.8076923076923077,0.8076923076923077,0.8,0.8,0.8038461538461539,0.6076923076923076
44,sigmoid,0.000244140625,2,105,0.6862745098039216,0.7142857142857143,0.6,0.6666666666666666,0.7692307692307693,0.6521739130434783,0.6198347107438017,0.6846153846153846,0.37504578475079636
44,sigmoid,0.000244140625,3,101,0.7450980392156863,0.8,0.64,0.7096774193548387,0.8461538461538461,0.7111111111111111,0.6666666666666666,0.7430769230769231,0.49777669463035495
44,sigmoid,0.000244140625,3,102,0.6862745098039216,0.8,0.48,0.6388888888888888,0.8846153846153846,0.6,0.5217391304347826,0.6823076923076923,0.4000320499980483
44,sigmoid,0.000244140625,3,103,0.7254901960784313,0.8235294117647058,0.56,0.6764705882352942,0.8846153846153846,0.6666666666666666,0.5982905982905983,0.7223076923076923,0.4714951667914447
44,sigmoid,0.000244140625,3,104,0.7450980392156863,0.8333333333333334,0.6,0.696969696969697,0.8846153846153846,0.6976744186046512,0.635593220338983,0.7423076923076923,0.5069447770645309
44,sigmoid,0.000244140625,3,105,0.7254901960784313,0.8235294117647058,0.56,0.6764705882352942,0.8846153846153846,0.6666666666666666,0.5982905982905983,0.7223076923076923,0.4714951667914447
44,sigmoid,0.000244140625,4,101,0.8235294117647058,0.8076923076923077,0.84,0.84,0.8076923076923077,0.8235294117647058,0.8333333333333334,0.8238461538461539,0.6476923076923077
44,sigmoid,0.000244140625,4,102,0.803921568627451,0.8571428571428571,0.72,0.7666666666666667,0.8846153846153846,0.782608695652174,0.743801652892562,0.8023076923076923,0.6141374725294291
44,sigmoid,0.000244140625,4,103,0.8235294117647058,0.8636363636363636,0.76,0.7931034482758621,0.8846153846153846,0.8085106382978723,0.7786885245901639,0.8223076923076923,0.6506493575252608
44,sigmoid,0.000244140625,4,104,0.7254901960784313,0.7619047619047619,0.64,0.7,0.8076923076923077,0.6956521739130435,0.6611570247933884,0.7238461538461538,0.45474301401034056
44,sigmoid,0.000244140625,4,105,0.7647058823529411,0.8095238095238095,0.68,0.7333333333333333,0.8461538461538461,0.7391304347826086,0.7024793388429752,0.7630769230769231,0.5344402432698848
44,sigmoid,0.00048828125,0,101,0.7647058823529411,0.7333333333333333,0.8461538461538461,0.8095238095238095,0.68,0.7857142857142857,0.8208955223880597,0.7630769230769231,0.5344402432698848
44,sigmoid,0.00048828125,0,102,0.6862745098039216,0.65625,0.8076923076923077,0.7368421052631579,0.56,0.7241379310344828,0.7720588235294118,0.6838461538461539,0.38018014587802723
44,sigmoid,0.00048828125,0,103,0.6862745098039216,0.6666666666666666,0.7692307692307693,0.7142857142857143,0.6,0.7142857142857143,0.746268656716418,0.6846153846153846,0.37504578475079636
44,sigmoid,0.00048828125,0,104,0.7254901960784313,0.7142857142857143,0.7692307692307693,0.7391304347826086,0.68,0.7407407407407407,0.7575757575757576,0.7246153846153847,0.451318607446686
44,sigmoid,0.00048828125,0,105,0.7058823529411765,0.6774193548387096,0.8076923076923077,0.75,0.6,0.7368421052631579,0.7777777777777778,0.7038461538461538,0.4174393166995065
44,sigmoid,0.00048828125,1,101,0.7647058823529411,0.8421052631578947,0.64,0.71875,0.8846153846153846,0.7272727272727273,0.6722689075630253,0.7623076923076924,0.5424327604368505
44,sigmoid,0.00048828125,1,102,0.7843137254901961,0.85,0.68,0.7419354838709677,0.8846153846153846,0.7555555555555555,0.7083333333333334,0.7823076923076924,0.5781140725612034
44,sigmoid,0.00048828125,1,103,0.7450980392156863,0.7727272727272727,0.68,0.7241379310344828,0.8076923076923077,0.723404255319149,0.6967213114754098,0.7438461538461538,0.492257389822214
44,sigmoid,0.00048828125,1,104,0.8235294117647058,0.9444444444444444,0.68,0.7575757575757576,0.9615384615384616,0.7906976744186046,0.7203389830508474,0.8207692307692308,0.6710983239235219
44,sigmoid,0.00048828125,1,105,0.803921568627451,0.8571428571428571,0.72,0.7666666666666667,0.8846153846153846,0.782608695652174,0.743801652892562,0.8023076923076923,0.6141374725294291
44,sigmoid,0.00048828125,2,101,0.7254901960784313,0.7391304347826086,0.68,0.7142857142857143,0.7692307692307693,0.7083333333333334,0.6910569105691057,0.7246153846153847,0.451318607446686
44,sigmoid,0.00048828125,2,102,0.7647058823529411,0.76,0.76,0.7692307692307693,0.7692307692307693,0.76,0.76,0.7646153846153847,0.5292307692307693
44,sigmoid,0.00048828125,2,103,0.7647058823529411,0.8095238095238095,0.68,0.7333333333333333,0.8461538461538461,0.7391304347826086,0.7024793388429752,0.7630769230769231,0.5344402432698848
44,sigmoid,0.00048828125,2,104,0.803921568627451,0.8,0.8,0.8076923076923077,0.8076923076923077,0.8,0.8,0.8038461538461539,0.6076923076923076
44,sigmoid,0.00048828125,2,105,0.6862745098039216,0.7142857142857143,0.6,0.6666666666666666,0.7692307692307693,0.6521739130434783,0.6198347107438017,0.6846153846153846,0.37504578475079636
44,sigmoid,0.00048828125,3,101,0.7450980392156863,0.8,0.64,0.7096774193548387,0.8461538461538461,0.7111111111111111,0.6666666666666666,0.7430769230769231,0.49777669463035495
44,sigmoid,0.00048828125,3,102,0.6862745098039216,0.8,0.48,0.6388888888888888,0.8846153846153846,0.6,0.5217391304347826,0.6823076923076923,0.4000320499980483
44,sigmoid,0.00048828125,3,103,0.7254901960784313,0.8235294117647058,0.56,0.6764705882352942,0.8846153846153846,0.6666666666666666,0.5982905982905983,0.7223076923076923,0.4714951667914447
44,sigmoid,0.00048828125,3,104,0.7450980392156863,0.8333333333333334,0.6,0.696969696969697,0.8846153846153846,0.6976744186046512,0.635593220338983,0.7423076923076923,0.5069447770645309
44,sigmoid,0.00048828125,3,105,0.7254901960784313,0.8235294117647058,0.56,0.6764705882352942,0.8846153846153846,0.6666666666666666,0.5982905982905983,0.7223076923076923,0.4714951667914447
44,sigmoid,0.00048828125,4,101,0.8235294117647058,0.8076923076923077,0.84,0.84,0.8076923076923077,0.8235294117647058,0.8333333333333334,0.8238461538461539,0.6476923076923077
44,sigmoid,0.00048828125,4,102,0.803921568627451,0.8571428571428571,0.72,0.7666666666666667,0.8846153846153846,0.782608695652174,0.743801652892562,0.8023076923076923,0.6141374725294291
44,sigmoid,0.00048828125,4,103,0.8235294117647058,0.8636363636363636,0.76,0.7931034482758621,0.8846153846153846,0.8085106382978723,0.7786885245901639,0.8223076923076923,0.6506493575252608
44,sigmoid,0.00048828125,4,104,0.7254901960784313,0.7619047619047619,0.64,0.7,0.8076923076923077,0.6956521739130435,0.6611570247933884,0.7238461538461538,0.45474301401034056
44,sigmoid,0.00048828125,4,105,0.7647058823529411,0.8095238095238095,0.68,0.7333333333333333,0.8461538461538461,0.7391304347826086,0.7024793388429752,0.7630769230769231,0.5344402432698848
