Model_Type,Hidden_Nodes,Lambda_Value,Activation,Fold_ID,Seed,Iteration,Fitness
ABC_CVEnsemble_RELM,34,0.125,sigmoid,0,104,21,0.5792257502174087
ABC_CVEnsemble_RELM,34,0.125,sigmoid,0,104,22,0.5792257502174087
ABC_CVEnsemble_RELM,34,0.125,sigmoid,0,104,23,0.5792257502174087
ABC_CVEnsemble_RELM,34,0.125,sigmoid,0,104,24,0.5792257502174087
ABC_CVEnsemble_RELM,34,0.125,sigmoid,0,104,25,0.5792257502174087
ABC_CVEnsemble_RELM,34,0.125,sigmoid,0,104,26,0.5792257502174087
ABC_CVEnsemble_RELM,34,0.125,sigmoid,0,104,27,0.5792257502174087
ABC_CVEnsemble_RELM,34,0.125,sigmoid,0,104,28,0.5792257502174087
ABC_CVEnsemble_RELM,34,0.125,sigmoid,0,104,29,0.5792257502174087
ABC_CVEnsemble_RELM,34,0.125,sigmoid,0,104,30,0.5792257502174087
ABC_CVEnsemble_RELM,34,0.125,sigmoid,0,104,31,0.5792257502174087
ABC_CVEnsemble_RELM,34,0.125,sigmoid,0,104,32,0.5792257502174087
ABC_CVEnsemble_RELM,34,0.125,sigmoid,0,104,33,0.5792257502174087
ABC_CVEnsemble_RELM,34,0.125,sigmoid,0,104,34,0.5792257502174087
ABC_CVEnsemble_RELM,34,0.125,sigmoid,0,104,35,0.5814240775277031
ABC_CVEnsemble_RELM,34,0.125,sigmoid,0,104,36,0.5814240775277031
ABC_CVEnsemble_RELM,34,0.125,sigmoid,0,104,37,0.5814240775277031
ABC_CVEnsemble_RELM,34,0.125,sigmoid,0,104,38,0.5814240775277031
ABC_CVEnsemble_RELM,34,0.125,sigmoid,0,104,39,0.5858937579545065
ABC_CVEnsemble_RELM,34,0.125,sigmoid,0,104,40,0.5858937579545065
ABC_CVEnsemble_RELM,34,0.125,sigmoid,0,104,41,0.5858937579545065
ABC_CVEnsemble_RELM,34,0.125,sigmoid,0,104,42,0.5858937579545065
ABC_CVEnsemble_RELM,34,0.125,sigmoid,0,104,43,0.5858937579545065
ABC_CVEnsemble_RELM,34,0.125,sigmoid,0,104,44,0.5858937579545065
ABC_CVEnsemble_RELM,34,0.125,sigmoid,0,104,45,0.5858937579545065
ABC_CVEnsemble_RELM,34,0.125,sigmoid,0,104,46,0.5858937579545065
ABC_CVEnsemble_RELM,34,0.125,sigmoid,0,104,47,0.5858937579545065
ABC_CVEnsemble_RELM,34,0.125,sigmoid,0,104,48,0.6041290816242746
ABC_CVEnsemble_RELM,34,0.125,sigmoid,0,104,49,0.6041290816242746
ABC_CVEnsemble_RELM,34,0.125,sigmoid,0,104,50,0.6041290816242746
ABC_CVEnsemble_RELM,34,0.125,sigmoid,0,104,51,0.6041290816242746
ABC_CVEnsemble_RELM,34,0.125,sigmoid,0,104,52,0.6041290816242746
ABC_CVEnsemble_RELM,34,0.125,sigmoid,0,104,53,0.6041290816242746
ABC_CVEnsemble_RELM,34,0.125,sigmoid,0,104,54,0.6041290816242746
ABC_CVEnsemble_RELM,34,0.125,sigmoid,0,104,55,0.6041290816242746
ABC_CVEnsemble_RELM,34,0.125,sigmoid,0,104,56,0.6041290816242746
ABC_CVEnsemble_RELM,34,0.125,sigmoid,0,104,57,0.6041290816242746
ABC_CVEnsemble_RELM,34,0.125,sigmoid,0,104,58,0.6041290816242746
ABC_CVEnsemble_RELM,34,0.125,sigmoid,0,104,59,0.6041290816242746
ABC_CVEnsemble_RELM,34,0.125,sigmoid,0,104,60,0.6041290816242746
ABC_CVEnsemble_RELM,34,0.125,sigmoid,0,104,61,0.6041290816242746
ABC_CVEnsemble_RELM,34,0.125,sigmoid,0,104,62,0.6041290816242746
ABC_CVEnsemble_RELM,34,0.125,sigmoid,0,104,63,0.6041290816242746
ABC_CVEnsemble_RELM,34,0.125,sigmoid,0,104,64,0.6041290816242746
ABC_CVEnsemble_RELM,34,0.125,sigmoid,0,104,65,0.6087830134529586
ABC_CVEnsemble_RELM,34,0.125,sigmoid,0,104,66,0.6087830134529586
ABC_CVEnsemble_RELM,34,0.125,sigmoid,0,104,67,0.6087830134529586
ABC_CVEnsemble_RELM,34,0.125,sigmoid,0,104,68,0.6087830134529586
ABC_CVEnsemble_RELM,34,0.125,sigmoid,0,104,69,0.6087830134529586
ABC_CVEnsemble_RELM,34,0.125,sigmoid,0,104,70,0.6087830134529586
ABC_CVEnsemble_RELM,34,0.125,sigmoid,0,104,71,0.6087830134529586
ABC_CVEnsemble_RELM,34,0.125,sigmoid,0,104,72,0.6087830134529586
ABC_CVEnsemble_RELM,34,0.125,sigmoid,0,104,73,0.6087830134529586
ABC_CVEnsemble_RELM,34,0.125,sigmoid,0,104,74,0.6087830134529586
ABC_CVEnsemble_RELM,34,0.125,sigmoid,0,104,75,0.6087830134529586
ABC_CVEnsemble_RELM,34,0.125,sigmoid,0,104,76,0.6087830134529586
ABC_CVEnsemble_RELM,34,0.125,sigmoid,0,104,77,0.6087830134529586
ABC_CVEnsemble_RELM,34,0.125,sigmoid,0,104,78,0.6087830134529586
ABC_CVEnsemble_RELM,34,0.125,sigmoid,0,104,79,0.6087830134529586
ABC_CVEnsemble_RELM,34,0.125,sigmoid,0,104,80,0.6087830134529586
ABC_CVEnsemble_RELM,34,0.125,sigmoid,0,104,81,0.6087830134529586
ABC_CVEnsemble_RELM,34,0.125,sigmoid,0,104,82,0.6087830134529586
ABC_CVEnsemble_RELM,34,0.125,sigmoid,0,104,83,0.6087830134529586
ABC_CVEnsemble_RELM,34,0.125,sigmoid,0,104,84,0.6087830134529586
ABC_CVEnsemble_RELM,34,0.125,sigmoid,0,104,85,0.6087830134529586
ABC_CVEnsemble_RELM,34,0.125,sigmoid,0,104,86,0.6087830134529586
ABC_CVEnsemble_RELM,34,0.125,sigmoid,0,104,87,0.6087830134529586
ABC_CVEnsemble_RELM,34,0.125,sigmoid,0,104,88,0.6087830134529586
ABC_CVEnsemble_RELM,34,0.125,sigmoid,0,104,89,0.6087830134529586
ABC_CVEnsemble_RELM,34,0.125,sigmoid,0,104,90,0.6087830134529586
ABC_CVEnsemble_RELM,34,0.125,sigmoid,0,104,91,0.6087830134529586
ABC_CVEnsemble_RELM,34,0.125,sigmoid,0,104,92,0.6087830134529586
ABC_CVEnsemble_RELM,34,0.125,sigmoid,0,104,93,0.6087830134529586
ABC_CVEnsemble_RELM,34,0.125,sigmoid,0,104,94,0.6087830134529586
ABC_CVEnsemble_RELM,34,0.125,sigmoid,0,104,95,0.6087830134529586
ABC_CVEnsemble_RELM,34,0.125,sigmoid,0,104,96,0.6087830134529586
ABC_CVEnsemble_RELM,34,0.125,sigmoid,0,104,97,0.6087830134529586
ABC_CVEnsemble_RELM,34,0.125,sigmoid,0,104,98,0.6087830134529586
ABC_CVEnsemble_RELM,34,0.125,sigmoid,0,104,99,0.6087830134529586
ABC_CVEnsemble_RELM,34,0.125,sigmoid,0,104,100,0.6087830134529586
ABC_CVEnsemble_RELM,34,0.125,sigmoid,0,105,1,0.5150056345753911
ABC_CVEnsemble_RELM,34,0.125,sigmoid,0,105,2,0.5400722317616296
ABC_CVEnsemble_RELM,34,0.125,sigmoid,0,105,3,0.5400722317616296
ABC_CVEnsemble_RELM,34,0.125,sigmoid,0,105,4,0.5400722317616296
ABC_CVEnsemble_RELM,34,0.125,sigmoid,0,105,5,0.5400722317616296
ABC_CVEnsemble_RELM,34,0.125,sigmoid,0,105,6,0.5400722317616296
ABC_CVEnsemble_RELM,34,0.125,sigmoid,0,105,7,0.5400722317616296
ABC_CVEnsemble_RELM,34,0.125,sigmoid,0,105,8,0.5419543660205306
ABC_CVEnsemble_RELM,34,0.125,sigmoid,0,105,9,0.5419543660205306
ABC_CVEnsemble_RELM,34,0.125,sigmoid,0,105,10,0.5486244757891887
ABC_CVEnsemble_RELM,34,0.125,sigmoid,0,105,11,0.5486244757891887
ABC_CVEnsemble_RELM,34,0.125,sigmoid,0,105,12,0.5672278674989257
ABC_CVEnsemble_RELM,34,0.125,sigmoid,0,105,13,0.5672278674989257
ABC_CVEnsemble_RELM,34,0.125,sigmoid,0,105,14,0.5672278674989257
ABC_CVEnsemble_RELM,34,0.125,sigmoid,0,105,15,0.5859901492066493
ABC_CVEnsemble_RELM,34,0.125,sigmoid,0,105,16,0.5859901492066493
ABC_CVEnsemble_RELM,34,0.125,sigmoid,0,105,17,0.5859901492066493
ABC_CVEnsemble_RELM,34,0.125,sigmoid,0,105,18,0.5859901492066493
ABC_CVEnsemble_RELM,34,0.125,sigmoid,0,105,19,0.5859901492066493
ABC_CVEnsemble_RELM,34,0.125,sigmoid,0,105,20,0.5859901492066493
ABC_CVEnsemble_RELM,34,0.125,sigmoid,0,105,21,0.5908961377641406
ABC_CVEnsemble_RELM,34,0.125,sigmoid,0,105,22,0.5908961377641406
ABC_CVEnsemble_RELM,34,0.125,sigmoid,0,105,23,0.5908961377641406
ABC_CVEnsemble_RELM,34,0.125,sigmoid,0,105,24,0.5908961377641406
ABC_CVEnsemble_RELM,34,0.125,sigmoid,0,105,25,0.5908961377641406
ABC_CVEnsemble_RELM,34,0.125,sigmoid,0,105,26,0.5908961377641406
ABC_CVEnsemble_RELM,34,0.125,sigmoid,0,105,27,0.5908961377641406
ABC_CVEnsemble_RELM,34,0.125,sigmoid,0,105,28,0.5908961377641406
ABC_CVEnsemble_RELM,34,0.125,sigmoid,0,105,29,0.5908961377641406
ABC_CVEnsemble_RELM,34,0.125,sigmoid,0,105,30,0.5908961377641406
ABC_CVEnsemble_RELM,34,0.125,sigmoid,0,105,31,0.5908961377641406
ABC_CVEnsemble_RELM,34,0.125,sigmoid,0,105,32,0.5947818566597969
ABC_CVEnsemble_RELM,34,0.125,sigmoid,0,105,33,0.5947818566597969
ABC_CVEnsemble_RELM,34,0.125,sigmoid,0,105,34,0.5947818566597969
ABC_CVEnsemble_RELM,34,0.125,sigmoid,0,105,35,0.5947818566597969
ABC_CVEnsemble_RELM,34,0.125,sigmoid,0,105,36,0.5947818566597969
ABC_CVEnsemble_RELM,34,0.125,sigmoid,0,105,37,0.5947818566597969
ABC_CVEnsemble_RELM,34,0.125,sigmoid,0,105,38,0.5971303482465975
ABC_CVEnsemble_RELM,34,0.125,sigmoid,0,105,39,0.5971303482465975
ABC_CVEnsemble_RELM,34,0.125,sigmoid,0,105,40,0.5971303482465975
ABC_CVEnsemble_RELM,34,0.125,sigmoid,0,105,41,0.5971303482465975
ABC_CVEnsemble_RELM,34,0.125,sigmoid,0,105,42,0.5971303482465975
ABC_CVEnsemble_RELM,34,0.125,sigmoid,0,105,43,0.5971303482465975
ABC_CVEnsemble_RELM,34,0.125,sigmoid,0,105,44,0.5971303482465975
ABC_CVEnsemble_RELM,34,0.125,sigmoid,0,105,45,0.5971303482465975
ABC_CVEnsemble_RELM,34,0.125,sigmoid,0,105,46,0.5971303482465975
ABC_CVEnsemble_RELM,34,0.125,sigmoid,0,105,47,0.5971303482465975
ABC_CVEnsemble_RELM,34,0.125,sigmoid,0,105,48,0.5971303482465975
ABC_CVEnsemble_RELM,34,0.125,sigmoid,0,105,49,0.5971303482465975
ABC_CVEnsemble_RELM,34,0.125,sigmoid,0,105,50,0.5971303482465975
ABC_CVEnsemble_RELM,34,0.125,sigmoid,0,105,51,0.6065760514980998
ABC_CVEnsemble_RELM,34,0.125,sigmoid,0,105,52,0.6065760514980998
ABC_CVEnsemble_RELM,34,0.125,sigmoid,0,105,53,0.6065760514980998
ABC_CVEnsemble_RELM,34,0.125,sigmoid,0,105,54,0.6065760514980998
ABC_CVEnsemble_RELM,34,0.125,sigmoid,0,105,55,0.6065760514980998
ABC_CVEnsemble_RELM,34,0.125,sigmoid,0,105,56,0.6065760514980998
ABC_CVEnsemble_RELM,34,0.125,sigmoid,0,105,57,0.6065760514980998
ABC_CVEnsemble_RELM,34,0.125,sigmoid,0,105,58,0.6065760514980998
ABC_CVEnsemble_RELM,34,0.125,sigmoid,0,105,59,0.6065760514980998
ABC_CVEnsemble_RELM,34,0.125,sigmoid,0,105,60,0.6065760514980998
ABC_CVEnsemble_RELM,34,0.125,sigmoid,0,105,61,0.6065760514980998
ABC_CVEnsemble_RELM,34,0.125,sigmoid,0,105,62,0.6065760514980998
ABC_CVEnsemble_RELM,34,0.125,sigmoid,0,105,63,0.6065760514980998
ABC_CVEnsemble_RELM,34,0.125,sigmoid,0,105,64,0.6065760514980998
ABC_CVEnsemble_RELM,34,0.125,sigmoid,0,105,65,0.6065760514980998
ABC_CVEnsemble_RELM,34,0.125,sigmoid,0,105,66,0.6065760514980998
ABC_CVEnsemble_RELM,34,0.125,sigmoid,0,105,67,0.6065760514980998
ABC_CVEnsemble_RELM,34,0.125,sigmoid,0,105,68,0.6065760514980998
ABC_CVEnsemble_RELM,34,0.125,sigmoid,0,105,69,0.6065760514980998
ABC_CVEnsemble_RELM,34,0.125,sigmoid,0,105,70,0.6065760514980998
ABC_CVEnsemble_RELM,34,0.125,sigmoid,0,105,71,0.6065760514980998
ABC_CVEnsemble_RELM,34,0.125,sigmoid,0,105,72,0.6065760514980998
ABC_CVEnsemble_RELM,34,0.125,sigmoid,0,105,73,0.6113070761744279
ABC_CVEnsemble_RELM,34,0.125,sigmoid,0,105,74,0.6113070761744279
ABC_CVEnsemble_RELM,34,0.125,sigmoid,0,105,75,0.6113070761744279
ABC_CVEnsemble_RELM,34,0.125,sigmoid,0,105,76,0.6113070761744279
ABC_CVEnsemble_RELM,34,0.125,sigmoid,0,105,77,0.6113070761744279
ABC_CVEnsemble_RELM,34,0.125,sigmoid,0,105,78,0.6113070761744279
ABC_CVEnsemble_RELM,34,0.125,sigmoid,0,105,79,0.6113070761744279
ABC_CVEnsemble_RELM,34,0.125,sigmoid,0,105,80,0.6113070761744279
ABC_CVEnsemble_RELM,34,0.125,sigmoid,0,105,81,0.6113070761744279
ABC_CVEnsemble_RELM,34,0.125,sigmoid,0,105,82,0.6113070761744279
ABC_CVEnsemble_RELM,34,0.125,sigmoid,0,105,83,0.6113070761744279
ABC_CVEnsemble_RELM,34,0.125,sigmoid,0,105,84,0.6113070761744279
ABC_CVEnsemble_RELM,34,0.125,sigmoid,0,105,85,0.6113070761744279
ABC_CVEnsemble_RELM,34,0.125,sigmoid,0,105,86,0.6113070761744279
ABC_CVEnsemble_RELM,34,0.125,sigmoid,0,105,87,0.6113070761744279
ABC_CVEnsemble_RELM,34,0.125,sigmoid,0,105,88,0.6113070761744279
ABC_CVEnsemble_RELM,34,0.125,sigmoid,0,105,89,0.6113070761744279
ABC_CVEnsemble_RELM,34,0.125,sigmoid,0,105,90,0.6113070761744279
ABC_CVEnsemble_RELM,34,0.125,sigmoid,0,105,91,0.6113070761744279
ABC_CVEnsemble_RELM,34,0.125,sigmoid,0,105,92,0.6113070761744279
ABC_CVEnsemble_RELM,34,0.125,sigmoid,0,105,93,0.6113070761744279
ABC_CVEnsemble_RELM,34,0.125,sigmoid,0,105,94,0.6113070761744279
ABC_CVEnsemble_RELM,34,0.125,sigmoid,0,105,95,0.6113070761744279
ABC_CVEnsemble_RELM,34,0.125,sigmoid,0,105,96,0.6113070761744279
ABC_CVEnsemble_RELM,34,0.125,sigmoid,0,105,97,0.6113070761744279
ABC_CVEnsemble_RELM,34,0.125,sigmoid,0,105,98,0.6113070761744279
ABC_CVEnsemble_RELM,34,0.125,sigmoid,0,105,99,0.6113070761744279
ABC_CVEnsemble_RELM,34,0.125,sigmoid,0,105,100,0.6113070761744279
ABC_CVEnsemble_RELM,34,0.125,sigmoid,0,106,1,0.5112565899909352
ABC_CVEnsemble_RELM,34,0.125,sigmoid,0,106,2,0.5400910341617544
ABC_CVEnsemble_RELM,34,0.125,sigmoid,0,106,3,0.5400910341617544
ABC_CVEnsemble_RELM,34,0.125,sigmoid,0,106,4,0.5400910341617544
ABC_CVEnsemble_RELM,34,0.125,sigmoid,0,106,5,0.5400910341617544
ABC_CVEnsemble_RELM,34,0.125,sigmoid,0,106,6,0.5400910341617544
ABC_CVEnsemble_RELM,34,0.125,sigmoid,0,106,7,0.5442812318167376
ABC_CVEnsemble_RELM,34,0.125,sigmoid,0,106,8,0.5442812318167376
ABC_CVEnsemble_RELM,34,0.125,sigmoid,0,106,9,0.5442812318167376
ABC_CVEnsemble_RELM,34,0.125,sigmoid,0,106,10,0.5442812318167376
ABC_CVEnsemble_RELM,34,0.125,sigmoid,0,106,11,0.5724396400344127
ABC_CVEnsemble_RELM,34,0.125,sigmoid,0,106,12,0.5724396400344127
ABC_CVEnsemble_RELM,34,0.125,sigmoid,0,106,13,0.5917864359050238
ABC_CVEnsemble_RELM,34,0.125,sigmoid,0,106,14,0.5917864359050238
ABC_CVEnsemble_RELM,34,0.125,sigmoid,0,106,15,0.5917864359050238
ABC_CVEnsemble_RELM,34,0.125,sigmoid,0,106,16,0.5917864359050238
ABC_CVEnsemble_RELM,34,0.125,sigmoid,0,106,17,0.5917864359050238
ABC_CVEnsemble_RELM,34,0.125,sigmoid,0,106,18,0.5917864359050238
ABC_CVEnsemble_RELM,34,0.125,sigmoid,0,106,19,0.5917864359050238
ABC_CVEnsemble_RELM,34,0.125,sigmoid,0,106,20,0.5917864359050238
ABC_CVEnsemble_RELM,34,0.125,sigmoid,0,106,21,0.5917864359050238
ABC_CVEnsemble_RELM,34,0.125,sigmoid,0,106,22,0.5917864359050238
ABC_CVEnsemble_RELM,34,0.125,sigmoid,0,106,23,0.5917864359050238
ABC_CVEnsemble_RELM,34,0.125,sigmoid,0,106,24,0.5917864359050238
ABC_CVEnsemble_RELM,34,0.125,sigmoid,0,106,25,0.5917864359050238
ABC_CVEnsemble_RELM,34,0.125,sigmoid,0,106,26,0.5917864359050238
ABC_CVEnsemble_RELM,34,0.125,sigmoid,0,106,27,0.5917864359050238
ABC_CVEnsemble_RELM,34,0.125,sigmoid,0,106,28,0.5917864359050238
ABC_CVEnsemble_RELM,34,0.125,sigmoid,0,106,29,0.5917864359050238
ABC_CVEnsemble_RELM,34,0.125,sigmoid,0,106,30,0.5917864359050238
ABC_CVEnsemble_RELM,34,0.125,sigmoid,0,106,31,0.5917864359050238
ABC_CVEnsemble_RELM,34,0.125,sigmoid,0,106,32,0.5917864359050238
ABC_CVEnsemble_RELM,34,0.125,sigmoid,0,106,33,0.5917864359050238
ABC_CVEnsemble_RELM,34,0.125,sigmoid,0,106,34,0.5949453921350212
ABC_CVEnsemble_RELM,34,0.125,sigmoid,0,106,35,0.5949453921350212
ABC_CVEnsemble_RELM,34,0.125,sigmoid,0,106,36,0.5949453921350212
ABC_CVEnsemble_RELM,34,0.125,sigmoid,0,106,37,0.5949453921350212
ABC_CVEnsemble_RELM,34,0.125,sigmoid,0,106,38,0.5949453921350212
ABC_CVEnsemble_RELM,34,0.125,sigmoid,0,106,39,0.5949453921350212
ABC_CVEnsemble_RELM,34,0.125,sigmoid,0,106,40,0.5949453921350212
ABC_CVEnsemble_RELM,34,0.125,sigmoid,0,106,41,0.5949453921350212
ABC_CVEnsemble_RELM,34,0.125,sigmoid,0,106,42,0.5949453921350212
ABC_CVEnsemble_RELM,34,0.125,sigmoid,0,106,43,0.5949453921350212
ABC_CVEnsemble_RELM,34,0.125,sigmoid,0,106,44,0.5949453921350212
ABC_CVEnsemble_RELM,34,0.125,sigmoid,0,106,45,0.5949453921350212
ABC_CVEnsemble_RELM,34,0.125,sigmoid,0,106,46,0.5949453921350212
ABC_CVEnsemble_RELM,34,0.125,sigmoid,0,106,47,0.5949453921350212
ABC_CVEnsemble_RELM,34,0.125,sigmoid,0,106,48,0.6021782870486769
ABC_CVEnsemble_RELM,34,0.125,sigmoid,0,106,49,0.6021782870486769
ABC_CVEnsemble_RELM,34,0.125,sigmoid,0,106,50,0.6021782870486769
ABC_CVEnsemble_RELM,34,0.125,sigmoid,0,106,51,0.6021782870486769
ABC_CVEnsemble_RELM,34,0.125,sigmoid,0,106,52,0.6021782870486769
ABC_CVEnsemble_RELM,34,0.125,sigmoid,0,106,53,0.6225141495924269
ABC_CVEnsemble_RELM,34,0.125,sigmoid,0,106,54,0.6225141495924269
ABC_CVEnsemble_RELM,34,0.125,sigmoid,0,106,55,0.6225141495924269
ABC_CVEnsemble_RELM,34,0.125,sigmoid,0,106,56,0.6225141495924269
ABC_CVEnsemble_RELM,34,0.125,sigmoid,0,106,57,0.6225141495924269
ABC_CVEnsemble_RELM,34,0.125,sigmoid,0,106,58,0.6225141495924269
ABC_CVEnsemble_RELM,34,0.125,sigmoid,0,106,59,0.6225141495924269
ABC_CVEnsemble_RELM,34,0.125,sigmoid,0,106,60,0.6225141495924269
ABC_CVEnsemble_RELM,34,0.125,sigmoid,0,106,61,0.6225141495924269
ABC_CVEnsemble_RELM,34,0.125,sigmoid,0,106,62,0.6225141495924269
ABC_CVEnsemble_RELM,34,0.125,sigmoid,0,106,63,0.6225141495924269
ABC_CVEnsemble_RELM,34,0.125,sigmoid,0,106,64,0.6225141495924269
ABC_CVEnsemble_RELM,34,0.125,sigmoid,0,106,65,0.6225141495924269
ABC_CVEnsemble_RELM,34,0.125,sigmoid,0,106,66,0.6225141495924269
ABC_CVEnsemble_RELM,34,0.125,sigmoid,0,106,67,0.6225141495924269
ABC_CVEnsemble_RELM,34,0.125,sigmoid,0,106,68,0.6225141495924269
ABC_CVEnsemble_RELM,34,0.125,sigmoid,0,106,69,0.6225141495924269
ABC_CVEnsemble_RELM,34,0.125,sigmoid,0,106,70,0.6225141495924269
ABC_CVEnsemble_RELM,34,0.125,sigmoid,0,106,71,0.6225141495924269
ABC_CVEnsemble_RELM,34,0.125,sigmoid,0,106,72,0.6225141495924269
ABC_CVEnsemble_RELM,34,0.125,sigmoid,0,106,73,0.6225141495924269
ABC_CVEnsemble_RELM,34,0.125,sigmoid,0,106,74,0.6225141495924269
ABC_CVEnsemble_RELM,34,0.125,sigmoid,0,106,75,0.6225141495924269
ABC_CVEnsemble_RELM,34,0.125,sigmoid,0,106,76,0.6225141495924269
ABC_CVEnsemble_RELM,34,0.125,sigmoid,0,106,77,0.6225141495924269
ABC_CVEnsemble_RELM,34,0.125,sigmoid,0,106,78,0.6225141495924269
ABC_CVEnsemble_RELM,34,0.125,sigmoid,0,106,79,0.6225141495924269
ABC_CVEnsemble_RELM,34,0.125,sigmoid,0,106,80,0.6225141495924269
ABC_CVEnsemble_RELM,34,0.125,sigmoid,0,106,81,0.6225141495924269
ABC_CVEnsemble_RELM,34,0.125,sigmoid,0,106,82,0.6225141495924269
ABC_CVEnsemble_RELM,34,0.125,sigmoid,0,106,83,0.6225141495924269
ABC_CVEnsemble_RELM,34,0.125,sigmoid,0,106,84,0.6225141495924269
ABC_CVEnsemble_RELM,34,0.125,sigmoid,0,106,85,0.6225141495924269
ABC_CVEnsemble_RELM,34,0.125,sigmoid,0,106,86,0.6225141495924269
ABC_CVEnsemble_RELM,34,0.125,sigmoid,0,106,87,0.6225141495924269
ABC_CVEnsemble_RELM,34,0.125,sigmoid,0,106,88,0.6225141495924269
ABC_CVEnsemble_RELM,34,0.125,sigmoid,0,106,89,0.6225141495924269
ABC_CVEnsemble_RELM,34,0.125,sigmoid,0,106,90,0.6225141495924269
ABC_CVEnsemble_RELM,34,0.125,sigmoid,0,106,91,0.6225141495924269
ABC_CVEnsemble_RELM,34,0.125,sigmoid,0,106,92,0.6225141495924269
ABC_CVEnsemble_RELM,34,0.125,sigmoid,0,106,93,0.6225141495924269
ABC_CVEnsemble_RELM,34,0.125,sigmoid,0,106,94,0.6225141495924269
ABC_CVEnsemble_RELM,34,0.125,sigmoid,0,106,95,0.6225141495924269
ABC_CVEnsemble_RELM,34,0.125,sigmoid,0,106,96,0.6225141495924269
ABC_CVEnsemble_RELM,34,0.125,sigmoid,0,106,97,0.6225141495924269
ABC_CVEnsemble_RELM,34,0.125,sigmoid,0,106,98,0.6225141495924269
ABC_CVEnsemble_RELM,34,0.125,sigmoid,0,106,99,0.6225141495924269
ABC_CVEnsemble_RELM,34,0.125,sigmoid,0,106,100,0.6225141495924269
ABC_CVEnsemble_RELM,34,0.125,sigmoid,0,107,1,0.507650012206073
ABC_CVEnsemble_RELM,34,0.125,sigmoid,0,107,2,0.5299298296135562
ABC_CVEnsemble_RELM,34,0.125,sigmoid,0,107,3,0.5299298296135562
ABC_CVEnsemble_RELM,34,0.125,sigmoid,0,107,4,0.5299298296135562
ABC_CVEnsemble_RELM,34,0.125,sigmoid,0,107,5,0.5299298296135562
ABC_CVEnsemble_RELM,34,0.125,sigmoid,0,107,6,0.5299298296135562
ABC_CVEnsemble_RELM,34,0.125,sigmoid,0,107,7,0.5299298296135562
ABC_CVEnsemble_RELM,34,0.125,sigmoid,0,107,8,0.5299298296135562
ABC_CVEnsemble_RELM,34,0.125,sigmoid,0,107,9,0.5419808810204882
ABC_CVEnsemble_RELM,34,0.125,sigmoid,0,107,10,0.5419808810204882
ABC_CVEnsemble_RELM,34,0.125,sigmoid,0,107,11,0.5419808810204882
ABC_CVEnsemble_RELM,34,0.125,sigmoid,0,107,12,0.559707182838941
ABC_CVEnsemble_RELM,34,0.125,sigmoid,0,107,13,0.559707182838941
ABC_CVEnsemble_RELM,34,0.125,sigmoid,0,107,14,0.559707182838941
ABC_CVEnsemble_RELM,34,0.125,sigmoid,0,107,15,0.559707182838941
ABC_CVEnsemble_RELM,34,0.125,sigmoid,0,107,16,0.559707182838941
ABC_CVEnsemble_RELM,34,0.125,sigmoid,0,107,17,0.559707182838941
ABC_CVEnsemble_RELM,34,0.125,sigmoid,0,107,18,0.5616351263507442
ABC_CVEnsemble_RELM,34,0.125,sigmoid,0,107,19,0.5635828951259161
ABC_CVEnsemble_RELM,34,0.125,sigmoid,0,107,20,0.5635828951259161
ABC_CVEnsemble_RELM,34,0.125,sigmoid,0,107,21,0.5635828951259161
ABC_CVEnsemble_RELM,34,0.125,sigmoid,0,107,22,0.5635828951259161
ABC_CVEnsemble_RELM,34,0.125,sigmoid,0,107,23,0.5635828951259161
ABC_CVEnsemble_RELM,34,0.125,sigmoid,0,107,24,0.5635828951259161
ABC_CVEnsemble_RELM,34,0.125,sigmoid,0,107,25,0.5650845760233054
ABC_CVEnsemble_RELM,34,0.125,sigmoid,0,107,26,0.5667721243329626
ABC_CVEnsemble_RELM,34,0.125,sigmoid,0,107,27,0.5667721243329626
ABC_CVEnsemble_RELM,34,0.125,sigmoid,0,107,28,0.5667721243329626
ABC_CVEnsemble_RELM,34,0.125,sigmoid,0,107,29,0.5751957433187371
ABC_CVEnsemble_RELM,34,0.125,sigmoid,0,107,30,0.5751957433187371
ABC_CVEnsemble_RELM,34,0.125,sigmoid,0,107,31,0.5981526389728218
ABC_CVEnsemble_RELM,34,0.125,sigmoid,0,107,32,0.5981526389728218
ABC_CVEnsemble_RELM,34,0.125,sigmoid,0,107,33,0.5996124875100624
ABC_CVEnsemble_RELM,34,0.125,sigmoid,0,107,34,0.5996124875100624
ABC_CVEnsemble_RELM,34,0.125,sigmoid,0,107,35,0.5996124875100624
ABC_CVEnsemble_RELM,34,0.125,sigmoid,0,107,36,0.5996124875100624
ABC_CVEnsemble_RELM,34,0.125,sigmoid,0,107,37,0.5996124875100624
ABC_CVEnsemble_RELM,34,0.125,sigmoid,0,107,38,0.5996124875100624
ABC_CVEnsemble_RELM,34,0.125,sigmoid,0,107,39,0.5996124875100624
ABC_CVEnsemble_RELM,34,0.125,sigmoid,0,107,40,0.5996124875100624
ABC_CVEnsemble_RELM,34,0.125,sigmoid,0,107,41,0.5996124875100624
ABC_CVEnsemble_RELM,34,0.125,sigmoid,0,107,42,0.5996124875100624
ABC_CVEnsemble_RELM,34,0.125,sigmoid,0,107,43,0.5996124875100624
ABC_CVEnsemble_RELM,34,0.125,sigmoid,0,107,44,0.5996124875100624
